Project # (internal) ,Title,Activity area,Programme,Staff Project Lead,Short Description,Long Description,Outcomes ,Links,Partners,Other Staff Involved,Tags
207723,Reporting on the State of the Marine Environment,Environmental Assessment,,,This project builds capacity for the application of an efficient methodology for State of Marine Environment Assessment and Reporting in developing states which is essential for sustainable and ecosystem-based management of their marine environment.,"The methodology has been under development in conjunction with the UN World Ocean Assessment (WOA) to assist countries to participate in that assessment by conducting their own state of marine environment (SOME) assessments. GRID-Arendal has developed a web-based software to facilitate workshops for rapid SOME assessments. Further development and demonstration of this software, in order to achieve recognition and adoption by UNEP, IOC and DOALOS, is a key driver for the project.","A capacity building program on Ecosystem Based Management, including marine assessments and use of marine data and information, is recognized and considered for implementation by UNEP. Capacity and awareness in ecosystem based marine management among Governments/institutions in developing countries is increased. Methods for SoME reporting is subject to peer review for quality validation. A regional program including web portal displaying national SoME reports is established. Finalised guidelines for SoME reporting are developed. ",,,,
207633,Blue Carbon in West Africa,Environmental Assessment,,,This activity will develop a strategic assessment for the West Africa region to identify opportunities to develop a full Blue Carbon project. ,"Building on previous work already done in the region, notably the mapping of mangroves, this project would also investigate other information gaps, such as the science and policy needs related to Blue Carbon and other ecosystem services. This report will allow us to create opportunities with interested partners for Blue Carbon projects in areas that are highly suitable. The goal is to determine what concrete actions are needed to ensure that countries can best support the conservation and sustainable use of Blue Carbon ecosystems and the securing of critical ecosystem services in the West Africa region.","Identify the relevant data and engage with stakeholders relating to blue carbon in the West Africa region to determine the most feasible methods, locations and partnerships needed to produce a successful blue carbon project in the region.
",,,,
207634,Oceanic Blue Carbon,Capacity building,Blue Carbon,,"This is project will advance communications and proposals related to advancing the value of marine vertebrate and invertebrate carbon services (i.e., ‘fish carbon’) in policy related to marine biodiversity conservation, marine science funding, and climate change. ","UN Environment and the Global Environment Facility have called for innovative actions to help address climate change and protect biodiversity -- and fish carbon can potentially help meet that goal. This concept may also potentially develop current blue carbon efforts beyond the coasts. Communications activities and proposals will be coordinated with the partners and reviewers involved in the fish carbon report and reach out partners involved in blue carbon, climate change and marine conservation.","The intent of the report is to allow the Abidjan Secretariat to evaluate where projects might be easily started, or included in on-going efforts. Case studies will highlight success stories and lessons learned from the region. This report is being completed in partnership with Coastal and Ocean Policy Programme at the Nicholas Institute for Environmental Policy Solutions at Duke University. ",,,,
207716,Mesophotic Reefs Report,GOT TO HERE,,,,"This project will produce a report on mesophotic coral reefs to inform UNEP and stakeholders of their known distribution and current status (condition assessment), their vulnerability to climate change, preservation and knowledge gaps. The approach will be to enlist world experts to provide input and provide peer-reviews by invitation. Details of steps to be followed in preparation of the report are as follows: a) By way of a review of existing data, provide an estimate of the potential global distribution of mesophotic reef habitat •","inventory existing spatial data on mesophotic reef habitat  
• identify and obtain other relevant proxy data including bathymetry, geomorphology etc. • prepare maps of potential and confirmed mesophotic reef habitat around the world b) Review existing assessments of threats to coral reefs from climate change •	identify differences in climate change exposure and expected impacts on different reef types, with particular attention to differences between shallow-water and mesophotic reefs; •	identify oceanographic conditions and geo-morphology that improve prospects for reef survival under climate change; •	identify how and to what extent mesophotic reefs support resilience of tropical coral reef ecosystems; c) Review existing assessments of anthropogenic impacts on mesophotic reefs •	identify and quantify impacts from fishing activities including trawling; impacts from coastal/land-based pollution; and other anthropogenic threats to mesophotic reefs; •	identify critical gaps in policy and management frameworks including conservation, fisheries and other sectoral frameworks; d) Provide recommendations on how mesophotic reefs can be preserved through a range of policy and management responses •	develop a range of recommendations on ecosystem-based policy and management responses that safeguard mesophotic reefs, at different spatial scales, from subnational to global; •	identify a set of immediate priority actions by key stakeholders; e) Identify research gaps and needs •	identify critical gaps in scientific knowledge of mesophotic reefs; •	provide recommendations on research priorities including thematic as well as geographic priorities; f) Complete final report on mesophotic reefs •	edit and assemble the final content including all text and graphic elements; •	prepare summary for decision makers •	(layout, copy editing etc.. ) The report will be ~30 pages and produced as a PDF and e-book only (no hard copy prints). This projects links to MFA programmes 7 and 5		Support developing states in ocean management, governance and assessment to address the growing pressures from human activities in Areas Beyond National Jurisdiction and extended continental shelf areas.	The activity contributes to PoW 2014-15 project “Sustaining Coral Reef Ecosystem Service Provision in the World’s Regional Seas: A Global Partnership for an Ecosystem Approach to Coral Reef Management” (in prep, submitted to PRC).",,,,
205021,RRU 2015,,,,,"Support to UN work and follow up UN Resolutions. The RRU will assist MFA with briefings on issues related to environmental crime and conflict, along with advising specifically on the development of the new Norwegian programme on information and analysis for development, peace and security, including on advise on INTERPOL, UNODC, UNEP and others. The RRU will further support UNEP directly with acute development of reports to i.e. UNEA, request received for report on health and the environment, and support with leading of workshops, science editorial and storyline development. This particularly entails cross-UN work for UNEP and assisting with interagency collaboration on scientific joint messages in RRAs but also other UNEP publications for UNEA. Consultations are currently being done with UNEP to this effect and a milestone plan should be availalable no later than Dec1st for 2016 regarding these activities.","Q1-2016: Support to UN work on illicit trafficking on wildlife on UN resolution to be launched at UNEA II in May 2015.

The project will continue supporting GRID´s strategy undertaking focus on issues that require much greater public and political attention including Environmental Crime (including illegal logging, fisheries, extraction and trade of minerals, waste and chemicals trade and dumping, and the poaching and smuggling of wildlife). Key issue in the Rio+20 outcome document ‘The Future We Want’ (UN General Assembly Resolution A/RES/66/288. UNEA Resolution 1/3, adopted in June 2014 UNGA A/69/l.80 Sixty-ninth session, 15 July 2015, agenda item 13. UNEP PoW: Sub-programme 4 Environmental Kovernance Project CP/5023-09-01; IMIS number 3A82",,,,
207211,Media Lab,,,,,"This work meets a critical need: to provide GRID-Arendal’s clients with a broad and cutting-edge range of communication product options to deliver top-quality environment science, management, and policy options to an increasingly technology savvy audience. These audiences are also likely to be much more geographically, economically, and culturally diverse than environmental audiences of the prior decades. Meanwhile, funders and clients alike must justify their communication expenditures. The New-Media Lab provides the structure needed for GRID to explore emerging, cutting-edge technology options, while demonstrating the cost-saving benefits to clients with specific, measurable, quantified impact reported for each of the targeted audiences.","The New-Media Lab establishes a process for a risk and cost-controlled, science-based ‘experiment cycle’ to explore emerging technologies and trends in communication which - targets specific outcomes to support GRID strategy/investments, scans the frontier, drawing on experienced reviews, networks & expertise - tests a limited set of emerging technologies, tied to specific, established GRID content and projects -	works with content from, and contributes to, each of GRIDs programs -	produces tangible, useable, imminently shareable ‘proof-of-concept’ -	uses state-of-the art reporting for quantified metrics and measurable impact - demonstrates impact on strategically targeted audiences and geographies, especially technology that can support capacity building and impact in MFA (targeted developing country) audiences, projects, countries and areas.	•	Focus on building a portfolio of larger-term projects •	Increase visibility of GRID’s In-house Capacity •	Increase cooperation with UN organizations, including a variety of UNEP units • Cooperate with GRID’s New-Media Lab to promote Green Economy and other product lines and promote it in New/Social media venues	The New Media Lab engages the creativity and feedback from information users, partners, networks and learning institutions, as targeted also in UNEP and Norwegian Program of work and Government Goals. By performing a constant scan for reviews, cases, and emerging trends, GRID presents savings to clients by reducing time, cost and risk as they move toward new platforms for greater impact.",,,,
207720,GEO-6,,,,,This project will provide support to UNEP’s GEO-6 programme by allocating staff time to support drafting of chapters and participating in planning meetings organized by UNEP.,"GEO-6 is produced on schedule and includes input from GRID-Arendal and is produced with highest possible quality of data and information available.

GEO-6 links to many aspects of the strategic plan, including: ? Strengthen our support to environmental conventions and cross-border cooperation. ? Emphasize synergies that draw on expertise across programme areas. ? Support the world’s transition to a ‘green economy’. ?	Strengthen our networks and enhance partnerships. ?	Grow our potential to bring stakeholders together to enable environmental solutions to be found. ? Increase cooperation with other UN organisations in fulfilling the goals of the Rio+20 process.	GEO-6 is UNEP’s premier publication for “keeping the environment under review”, which is UNEP’s mandate from the UN General Assembly.			",,,,
207727,H 2020 - ResponSEAble - Ocean Literacy,,,,,"The project Protecting the ocean: our collective responsibility, our common interest - Supporting the development of cost-effective ocean literacy in Europe short named ResponSEAble aims at supporting the emergence of an effective and dynamic ocean knowledge system that contributes to raising awareness on everybody’s (individual and collective, direct and indirect) responsibility and interest in a healthy and sustainable ocean.",-, ,,,
207116,Responsable Resource Extraction,,,,,"There are challenges in geological recourse extraction related to the mining it self, the social society surrounding it, the environment where within it happens and the governance of it. One challenge is to get “a setting” where all stakeholders are invited and weighted equally and benefits are optimized equally for all (including the environment). GRID has a strong background in the extraction industry combined with science communication, policy formulation expertise and Green Economy, GRID could create at Space for capacity building and workshop-meetings for Responsible Resource extraction with reinvestment for developing and maintaining a sustainable society and environment. From the Mining and Crime study (2015) we found that most mining i developing countries is often creating conflicts and are poorly govern to not mention the Illegal side of mining, which is a profitable and complex criminal operation that originates primarily in developing countries. It thrives in the space created by poverty, inequality, and state weakness, and contributes to forestalling economic prosperity for billions of people in countries across the world. So the first target will be ""legal"" mining operation and how to govern those in a responsible as it can´t be sustainable.","Specific projects should build dialogue and capacity to develop/change the exploitation of geological resources into responsible operations meaning that short and long term environmental, social, health, community etc. impacts are recognized, considered, minimized and mitigated in cooperation with all stakeholders. Support the Joint UNEP mining initiative on mining - small to large scale mining. Networking, capacity build and spreading knowledge of alternative mining methods/approaches. Support developing states in responsible management and governance of resource extraction. UNEP has previously explored with GRID and other partners the idea of setting up a ‘Global Sustainable Mining Initiative’; there is therefore precedent for further exploration of this topic. Also links to the work of the International Resource Panel.",,,,
203136,Polar View,,,,,"The ESA Polaris program will guide the development of the next generation of space infrastructure to support both scientific and operational information needs in the rapidly evolving Polar Regions. This study will determine user needs and high-level requirements for the next generation of observing systems for the Polar Regions. From scientists studying climate change impacts to commercial fisheries looking for safe transportation routes through the ice, the study findings will help to develop new space mission concepts for the Polar Regions that will deliver information to address gaps, better meet user needs and help support improved decision making and planning.","-The objective of the Polaris program is to respond to the evolving demands for space-based monitoring of the Polar Regions by developing the next generation of space infrastructure, developing novel concepts for integrated information services, and explo Links to the strategic goal of: The role of GRID-Arendal as an Arctic centre of excellence within UNEP is solidified with new Arctic projects in UNEP’s Programme of Work approved with GRID-Arendal as lead. The Arctic Council and other regional stakeholders engage proactively in projects of a local or global nature with GRID-Arendal", ,,,
207734,Blue Solutions 2.0 GIZ,,,," Blue Solutions is a partnership project between the German Agency for International Cooperation (GIZ), GRID-Arendal, IUCN and UNEP. The project was set up to collect and promote successful and inspiring approaches to overcome the challenges of marine and coastal management. Focusing on the themes of ecosystem services,6  conservation finance,
marine protected area governance and marine spatial planning, the project supports sharing experiences that can be expanded and used in other places. It focuses on exchanges between countries in the southern hemisphere – online as well as in actual meetings.","This is a continuation of the 2013-15 Blue Solutions Project. Blue Solutions is a partnership project between GIZ, GRID-Arendal, IUCN and UNEP, aiming to foster collaboration and share knowledge and experience between practitioners in marine and coastal conservation, exploitation and development. Blue Solutions works on five themes, under the umbrella of ecosystem-based management. . Integrating Ecosystem Services into Decision-Making . Innovatie Conservation Finance Mechanisms . Marine Spatial Planning . Marine Protected Area Governance . Disaster Risk Reduction, Ecosystem-based Adaptation GRID-Arendal leads themes one and two. Further, Blue Solutions builds capacity among practitioners to implement knowledge gathered and disseminated on those themes, and to provide peer-to-peer training. Blue Solutions also develops and implements innovative approaches to peer-to-peer collaboration and knowledge sharing.","The outcome of GRID-Arendal's work in the project is increased knowledge and capacity on integrating ecosystem services into decision-making, applying innovative finance mechanisms, and using innovative peer-to-peer learning approaches.

The project support GRID-Arendal’s Strategic Plan, in particular the Marine Division’s Strategic Direction a) A green economy transition in a “Blue World”: promoting innovative approaches for merging social, environmental and economic policies. The project support UNEP’s PoW’s Subprogramme 3 Ecosystem management, in particular expected accomplishments b) “Use of the ecosystem approach in countries to sustain ecosystem services from coastal and marine systems is increased and c) “Services and benefits derived from ecosystems are integrated with development planning”.",,,,
205248,Wastewater Management in Africa,,,,,The main purpose of the project is to profile the state and trends in wastewater management and sanitation delivery in Africa through a range of communication and outreach products. The project proposes three major components as follows: •,"Information and knowledge sharing – a detailed assessment of sanitation access (including wastewater and water quality management), as well as safe drinking water provision, will be undertaken to document and provide knowledge on state and trends in Africa since 1990. Good practices that need up-scaling and replication will also be highlighted. The main delivery under this component is an Atlas of Wastewater Management, Safe Drinking Water Provision and Sanitation Access in Africa: Opportunities for Public and Private Sector Investment. Accessory products are planned under this component, including a Maps and Graphics database, Photo library, Media briefs (for both traditional media outlets and social media), and Policy briefs. 

• Legal, policy and institutional strengthening – The slow progress in meeting sanitation targets under the Millennium Development Goals is partly a result of weaknesses in the legal, policy and institutional capacities of the countries. It is envisaged that the information and knowledge component will help in the identification of policy and legal gaps and overlaps; establishing institutional capacities; and identification of investment opportunities for wastewater management, sanitation and safe drinking water service delivery. This component will result in the engagement of key stakeholders for purposes of sharing key findings and recommendations from the information and knowledge component. • Monitoring and evaluation – the project is set to deliver several goals, including science-backed policy making, a more efficient system of turning policies into actions, and a long-term goal of positive health and environmental benefits. In order to track and monitor delivery on these goals, a set of monitoring and evaluation indicators will be developed and applied during the course and post-duration of the project. Delivery of communication products is expected to catalyze the following: • provision of appropriate guidance for policy and decision-making. There are many options for addressing Africa’s sanitation challenges, ranging from those solutions that are targeted at the household level to those that seek to protect the environment. The choice of the most appropriate option depends on available knowledge; •	reduction in the time span from policy-making and service delivery. It is acknowledged that many countries in Africa have well meaning policies, but it is often a challenge turning these policies into actions for service delivery; and • ensuring that Africa reaps the social, economic and environmental dividends of improved access to sanitation services. The long-term benefits of improved sanitation will include a reduction in the prevalence of some waterborne diseases; a clean environment, especially in urban areas; and increased national economic performance as fewer staff hours are lost due to illness.	The project falls under the Transboundary Water Management Programme, which seeks to use information products to foster regional peace building and integration efforts, given the competition associated with shared resources. The overall goal of the Programme is to strengthen transboundary cooperation and build sound dialogue between the countries’ governments, academia, civil society, youth and other stakeholders.	The project is linked to UNEP’s Ecosystem Management Programme of Work, and will seek to address the outcome related to the production and marine issues: (i) Production- use of the ecosystem management approaches in countries to maintain ecosystem services, and sustainable productivity of terrestrial and aquatic systems is increased; and (ii) Marine issues: Use of ecosystem management approaches in countries to sustain ecosystem services from coastal and marine systems is increased.",,,,
207105,H2020 BlueBridge,,,," The Marine Spatial Planning team was part of a successful Horizon 2020 bid called BlueBRIDGE, which will develop web based analysis and reporting tools to support improved management of fisheries, aquaculture and the marine environment. GRID-Arendal will work with a range of partners to develop a method to report on how well marine protected areas represent a range of environmental features including ecologically ones such as seagrasses, mangroves, coral reefs and undersea mountains, or seamounts. GRID-Arendal will also be involved in developing a tool to examine the interactions between mangroves and aquaculture sites.","BlueBRIDGE will deliver Virtual Research Environments (VREs) in various domains (e.g. fisheries, biology, economics, statistics, environment, mathematics, social sciences, natural sciences, computer science) that support knowledge generation from data collection and aggregation to the production of indicators and indices or other information products such as fact-sheets, reports, and data repositories. FAO will lead the activities with CLS and GRID/Arendal to provide a comprehensive environment to support spatial planning and the production of NASO relevant information by automating the analysis and classification of spatial features from satellite imagery, and embed these in spatial planning tools. Duration: 30 months External: 180 000 Euro (approximately 1 530 000 NOK)","BlueBRIDGE goal: develop capacity to increase our understanding of resource exploitation, environmental degradation and ecosystem management and provide informed advice to competent authorities related to the EU’s Blue Growth Societal Challenges and the Ecosystem Approach to Fisheries.

3.4 Marine Support ocean management, through Integrated marine and coastal spatial planning and ecosystem-based management processes. 11.	Capacity building and technology support to countries underpins the delivery of all UNEP’s support to countries in the PoW 18.	Ecosystem management. With a view to addressing the challenge of food security and water, UNEP will seek to promote proper management of biodiversity, particularly ecosystems, and in turn, enable integrated, cross-sectoral approaches to improve the resilience and productivity of interdependent landscapes and their associated ecosystems and species. UNEP will therefore ...b) promote the management of coasts and marine systems to ensure ecosystem services are maintained; ...paying particular attention to the Aichi biodiversity targets.",,,,
207213,COMO,,,,,"The Covenant of Mayors (COMO) is an initiative launched by the European Commission, involving local and regional authorities, voluntarily committing to increasing energy efficiency and the use of renewable energy sources on their territories. COMO-East is the expansion of the COMO initiative in the Eastern, Caucasus and Central Asian countries and aims to support local authorities in these countries to sign the COMO initiative and support them in the preparation and implementation of their Baseline Emission Inventory (BEI) and Sustainable Energy Action Plan (SEAP). UNEP, 3 cities (Icherisheher in Baku, the Ukrainian town of Vinnytsia and Beltsy in the Republic of Moldova), and Frankfurt School of Economic implemented a joint initiative - developing Sustainable Energy Action Plans and implementing demonstration activities. For further information, please refer to the e-book","Preparation of a concise evaluation report produced in English of the COMO Project following the evaluation ToR developed by EU and UNEP. Make recommendations for future follow-up activities that are included in the evaluation report

Green Economy Programme. SSFA between UNEP and GRID-Arendal to cooperate on the COMO Project Grant",,,,
201106,IW:Learn,,,,,"The goal of the project is to strengthen knowledge management capacity and promote scaled-up learning of disseminated experiences, tools and methodologies for transboundary waters management—across and beyond the GEF IW portfolio, together with a global network of partners—in order to improve the effectiveness of GEF IW and partner projects to deliver tangible results and scaled-up investments.","The work will benefit all project stakeholders, particularly GEF IW projects and partners, but will also provide critical information about the GEF IW portfolio to external stakeholders to promote replication of project experiences. This component aims to provide unrestricted access to an integrated suite of dynamic tools and reliable knowledge networks, project and partner platforms and portals, governments and the broader environment community, to support the wide analysis, dissemination and integration of IW portfolio results and experiences into decision making processes at various scales (global, regional and national).

• Focus on building up a portfolio of larger long-term projects. • Strengthen our support to environmental conventions and cross-border cooperation. • Emphasize synergies that draw on expertise across programme areas. • • Strengthen our networks and enhance partnerships. • Grow our potential to bring stakeholders together to enable environmental solutions to be found. • Increase cooperation with other UN organisationin fulfilling the goals of the Rio+20 process. • Encourage innovation and creativity through the enhancement of organisational learning. UNEP's International Waters programme is designed to enable countries to recognize and learn more about the water-related challenges they share, find ways to work together, and undertake important domestic changes needed to solve problems. UNEP coordinates its work and exercises leadership in the area of the environment in the UN System and beyond through partnerships and through existing coordination mechanisms. UNEP will promote UN-system wide coherence on environmental matters. UNEP will work to transform the way in which the UN system handles environmental matters. UNEP will strengthen its leadership in key UN coordination bodies and will lead efforts to formulate UN system-wide strategies on the environment and enhance UN system-wide coherence on environmental matters. UNEP also aims to integrate environmental safeguards into international programmes and support the “Delivering as One” approach at the national and regional levels. The aim is to capitalize on the strengths and reach of the agencies in the UN system to maximize the potential for environmentally sound development. UNEP will ocusing on knowledge sharing, the use of networks and other tools such as events, environmental education, training and access to information to raise awareness and communicate on relevant issues with a wide range of stakeholders, in line with Principle 10 of the Rio Declaration and the Tbilisi+35 Intergovernmental Communiqué on Environmental Education for Sustainable Development. •	Testing innovative solutions and technologies and upscaling results through partnerships. Upon request from countries, UNEP will support the development of norms, guidelines, innovative tools, and approaches to help countries pilot-test them, build country capacity, and promote the upscaling of these solutions and technologies through strategic partnerships. •	Facilitating access to funding for the environment. UNEP will facilitate access to finance for environmental action by “greening” national finance, building country capacity for environmentally sustainable investment, and facilitating country access to private sector funds and multilateral funds, such as the GEF, the Multilateral Fund, the Adaptation Fund and others.",,,,
206017,Coastal Ecosystem Services Assessments - Norway,,,,,"Working with NIVA to evaluate coastal marine ecosystems in Norway. The project shall through its main output - report - and the process of taking forward and communicate the help (1) compiling relevant Nordic and other international knowledge in the field so that coastal ecosystems societal significantly better inform policy, education and research. That report is that (1) most important Nordic state-of-art knowledge contribution to the social understanding of the four Nordic coastal ecosystems social / economic impact, and (2) that report when spread out to key audiences ; (a) researchers, (b) administration and (c) politicians.","through the worker contribute to strengthening the collective Nordic research community in the area and position this internationally, and (3) through cost-effective communications efforts make that knowledge when key audience segments including those working with relevant conventions and EU directives so that this can contribute to better implementation of these

The project support GRID-Arendal’s Strategic Plan, in particular the green economy transition in a “Blue World”: promoting innovative approaches for merging social, environmental and economic policies. The project support UNEP’s PoW’s Subprogramme 3 Ecosystem management, in particular expected accomplishments b) “Use of the ecosystem approach in countries to sustain ecosystem services from coastal and marine systems is increased and c) “Services and benefits derived from ecosystems are integrated with development planning”.",,,,
207615,Norwegian Blue Forests Network,,,,,"This is project will continue GRID's engagement with the NBFN, building on the interest shown by the Norwegian government in 'blue forests'. GRID's participation in the NBFN will focus on potential international NBFN activities and information.","Overall goal: Advance the blue forest approach in addressing climate change and meeting SDGs with the Norwegian government with the aim of increased Norwegain support (in developing nations).

GRID-Arendal’s in-house competencies are enhanced by a wide network of marine experts, to deliver ‘end-user’ outputs. These relate to specific regions or themes, including: • Coastal ecosystem studies on the provision of goods and services (e.g. “blue carbon” habitats). GRID’s activities on this project are linked to • The Norwegian Government's Environmental Policy and the State of the Environment, particularly related to diversity of habitats (Strategic Objective 3.1): o The environment shall be managed in a way that maintains the diversity of habitats and landscape types and ensures that there are viable populations of naturally-occurring species: this will ensure that biological diversity can continue to evolve. • UNEP’s Programme of Work , particularly related to climate change and ecosystem services (A. Overall orientation): o The UNEP core objective for 2014–2017 is to catalyse a transition towards low-carbon, low-emission, resource-efficient and equitable development based on the protection and sustainable use of ecosystem services, coherent and improved environmental governance and the reduction of environmental risks. The ultimate goal is to contribute to the well-being of current and future generations of humankind and the attainment of global environmental goals. • UNEP’s Programme of Work , particularly related to ecosystem management (Subprogramme 3): o UNEP is placing particular emphasis on “working with nature” to improve human well-being and address the pressing challenges associated with climate change and natural hazards that may lead to disasters. In that context, there is significant complementarity between the subprogrammes dealing with the conservation of biodiversity and ecosystem services, ecosystem-based approaches to adaptation to climate change, and ecosystem-based approaches to disaster risk reduction.",,,,
207616,Blue Guardians,,,,,"This is project will continue GRID's engagement with the Blue Guardians. GRID's participation in Blue Guardians is not limited to blue carbon but spans across a number of programs (i.e., MSP, valuation of ES and capacity building). This project also has a SIDS focus.","Overall goal: Advance the Blue Guardians approach and keep GRID in the core group.

GRID-Arendal’s in-house competencies are enhanced by a wide network of marine experts, to deliver ‘end-user’ outputs. These relate to specific regions or themes, including: • Coastal ecosystem studies on the provision of goods and services (e.g. “blue carbon” habitats). GRID’s activities on this project are linked to • The Norwegian Government's Environmental Policy and the State of the Environment, particularly related to diversity of habitats (Strategic Objective 3.1): o The environment shall be managed in a way that maintains the diversity of habitats and landscape types and ensures that there are viable populations of naturally-occurring species: this will ensure that biological diversity can continue to evolve. • UNEP’s Programme of Work , particularly related to climate change and ecosystem services (A. Overall orientation): o The UNEP core objective for 2014–2017 is to catalyse a transition towards low-carbon, low-emission, resource-efficient and equitable development based on the protection and sustainable use of ecosystem services, coherent and improved environmental governance and the reduction of environmental risks. The ultimate goal is to contribute to the well-being of current and future generations of humankind and the attainment of global environmental goals. • UNEP’s Programme of Work , particularly related to ecosystem management (Subprogramme 3): o UNEP is placing particular emphasis on “working with nature” to improve human well-being and address the pressing challenges associated with climate change and natural hazards that may lead to disasters. In that context, there is significant complementarity between the subprogrammes dealing with the conservation of biodiversity and ecosystem services, ecosystem-based approaches to adaptation to climate change, and ecosystem-based approaches to disaster risk reduction.",,,,
207617,Blue Carbon NAMA,,,,,This is project will advance a high policy blue carbon approach following the Dominican Republic's successful submission of a blue carbon NAMA to the UNFCCC,"Overall goal: Advance the blue carbon approach in addressing climate change through submission of blue carbon NAMAs by developing nations

GRID-Arendal’s in-house competencies are enhanced by a wide network of marine experts, to deliver ‘end-user’ outputs. These relate to specific regions or themes, including: • Coastal ecosystem studies on the provision of goods and services (e.g. “blue carbon” habitats). GRID’s activities on this project are linked to • The Norwegian Government's Environmental Policy and the State of the Environment, particularly related to diversity of habitats (Strategic Objective 3.1): o The environment shall be managed in a way that maintains the diversity of habitats and landscape types and ensures that there are viable populations of naturally-occurring species: this will ensure that biological diversity can continue to evolve. • UNEP’s Programme of Work , particularly related to climate change and ecosystem services (A. Overall orientation): o The UNEP core objective for 2014–2017 is to catalyse a transition towards low-carbon, low-emission, resource-efficient and equitable development based on the protection and sustainable use of ecosystem services, coherent and improved environmental governance and the reduction of environmental risks. The ultimate goal is to contribute to the well-being of current and future generations of humankind and the attainment of global environmental goals. • UNEP’s Programme of Work , particularly related to ecosystem management (Subprogramme 3): o UNEP is placing particular emphasis on “working with nature” to improve human well-being and address the pressing challenges associated with climate change and natural hazards that may lead to disasters. In that context, there is significant complementarity between the subprogrammes dealing with the conservation of biodiversity and ecosystem services, ecosystem-based approaches to adaptation to climate change, and ecosystem-based approaches to disaster risk reduction.",,,,
206022,Blue Finance,,,,,"Following up on the successful beginning this project under Blue Solutions, this project will continue to assist with the communication needs and expert advice needed by the project.","Lessons learned shared project support implementation support replication strategy in place fundraising opportunities in place

The project support GRID-Arendal’s Strategic Plan, in particular the Marine Division’s Strategic Direction a) A green economy transition in a “Blue World”: promoting innovative approaches for merging social, environmental and economic policies. The project support UNEP’s PoW’s Subprogramme 3 Ecosystem management, in particular expected accomplishments b) “Use of the ecosystem approach in countries to sustain ecosystem services from coastal and marine systems is increased and c) “Services and benefits derived from ecosystems are integrated with development planning”.",,,,
207618,Blue Carbon Portal,,,,,This project will allow for the maintenance of the Blue Carbon portal as well as the development of new infographics.,"The newly revised portal will be maintained and updated as well as populated with newly designed info graphics related to blue carbon and marine ecosystem services.

GRID’s activities on this project are linked to • The Norwegian Government's Environmental Policy and the State of the Environment, particularly related to diversity of habitats (Strategic Objective 3.1): o	The environment shall be managed in a way that maintains the diversity of habitats and landscape types and ensures that there are viable populations of naturally-occurring species: this will ensure that biological diversity can continue to evolve.	UNEP’s Programme of Work , particularly related to climate change and ecosystem services (A. Overall orientation): o	The UNEP core objective for 2014–2017 is to catalyse a transition towards low-carbon, low-emission, resource-efficient and equitable development based on the protection and sustainable use of ecosystem services, coherent and improved environmental governance and the reduction of environmental risks. The ultimate goal is to contribute to the well-being of current and future generations of humankind and the attainment of global environmental goals. •	UNEP’s Programme of Work , particularly related to ecosystem management (Subprogramme 3): o UNEP is placing particular emphasis on “working with nature” to improve human well-being and address the pressing challenges associated with climate change and natural hazards that may lead to disasters. In that context, there is significant complementarity between the subprogrammes dealing with the conservation of biodiversity and ecosystem services, ecosystem-based approaches to adaptation to climate change, and ecosystem-based approaches to disaster risk reduction.",,,,
206035,SDG Architect - healthy marine ecosystems,,,,,"Building on the ""Ocean and Us"" publication, the Ecosystem Services related Blue Solutions and GEF Blue Forests work, the Architect will provide a resource for countries in their plans for achieving SDGs, harnessing the support from healthy marine and coastal ecosystems. This project will respond to priorities identified with the Norwegian MoEC and MoFA. The architect is suggested to provide focused advised on selected SDGs and Targets that have the greatest relevance from a marine and coastal ecosystem services perspective (i.e. hunger, nutrition, employment, sustainable growth and climate related targets). It will provide tools and approaches for integrating ecosystem services into development strategies and policies, and real life examples of how this has been successfully conducted. The architect will give countries access to experience and expertise, through our network of partners, the Marine Ecosystem Services Partnership in particular.","Availability of practical tools for countries to realise the potential contribution of healthy marine and coastal ecosystems for Sustainable Development, focusing on selected SDGs.

From the internal Strategy 2014-2017 ""GRID-Arendal will build on, and expand our current organisational competencies. We have identified three key emerging issues as areas for new action. a) A green economy transition in a “Blue World”: promoting innovative approaches for merging social, environmental and economic policies"" It also contributes to the MFA workplan at ""4B-OP1: Blue Solutions knowledge and experience sharing platform”. UNEP Mid-term Startegy 2014-2017 Ecosystem management, EA2, Marine issues: ""Increased use is made of the ecosystem approach to sustain ecosystem services from coastal and marine systems""",,,,
